Implementing Cisco Multiprotocol Label Switching (MPLS),https://www.pluralsight.com/courses/cisco-multiprotocol-label-switching-implementing,31-Jan-24,01m6c5,Demo: We've Been Ignoring a Big MTU Problem!,how to precisely compute the MTU values across an MPLS network when using layer-2 VPNs with end-to-end VLAN tagging
Implementing and Validating QoS Designs,https://www.pluralsight.com/courses/implementing-validating-qos-designs,7-Feb-24,02m4c2,Demo: Developing a Per-site Shaping Policy,"how to apply granular per-spoke aggregate shaping QoS policies in an overlay hub/spoke WAN, like DMVPN"
Modern Service Provider Architectures,https://www.pluralsight.com/courses/modern-service-provider-architectures-cert,14-Feb-24,03m2c2,Reusing Cable TV Lines for Internet via DOCSIS,the fundamental behavior of DOCSIS (cable Internet) using an intuitive diagram
Securely Transitioning Enterprise Networks to IPv6,https://www.pluralsight.com/courses/securely-transitioning-enterprise-networks-ipv6,21-Feb-24,04m3c3,Demo: Configuring NAT64 Policies and Necessary Routes,"how to configure NAT64 on a Cisco IOS router, including the routing back to the rest of the network"
Deploying Network Configuration Management and Telemetry Solutions,https://www.pluralsight.com/courses/deploying-network-configuration-management-telemetry-solutions,28-Feb-24,05m5c6,Demo: Reviewing the Python NETCONF Telemetry Script,using Python to collect dial-in streaming telemetry using NETCONF via the ncclient package
Redirecting Traffic with MPLS Traffic Engineering,https://www.pluralsight.com/courses/redirecting-traffic-mpls-traffic-engineering-cert,6-Mar-24,06m3c4,Demo: Better Bandwidth Sharing with DS-TE RDM,how to implement the Russian Dolls Model (RDM) of DiffServ-aware Traffic Engineering (DS-TE) in MPLS networks
Protocol Deep Dive: ICMP,https://www.pluralsight.com/courses/protocol-deep-dive-icmp,13-Mar-24,07m3c3,Demo: MTU Discovery Using Ping Bracketing,how to use ICMP ping bracketing to quickly discover the MTU across an IP network
Cisco Advanced Routing: Troubleshooting with Cisco DNA Center Assurance,https://www.pluralsight.com/courses/cisco-advanced-routing-troubleshooting-cisco-dna-center-assurance,20-Mar-24,08m2c3,Demo: Measuring Network Health,how to navigate the Cisco DNA Center (now Catalyst Center) web interface to measure network health
Automating Cisco DNA Center Operations Using APIs,https://www.pluralsight.com/courses/automating-cisco-dna-center-operations-using-apis,27-Mar-24,09m5c3,"Demo: Adding Sites, IP Pools, and Credentials","how to programmatically interact with Cisco DNA Center (now Catalyst Center) to deploy an Software Defined Access (SDA) fabric, starting with the core components"
Deploying MPLS Segment Routing and Layer-2 VPNs,https://www.pluralsight.com/courses/mpls-segment-routing-layer-2-vpns-deploying-cert,3-Apr-24,10m7c2,Demo: Deploying CFM within a L2VPN Service,"how to configure Connectivity Fault Management (CFM/IEEE 802.1ag) on Cisco IOS-XE devices, including running a crosscheck test"
Protocol Deep Dive: IGMP and MLD,https://www.pluralsight.com/courses/protocol-deep-dive-igmp-mld,10-Apr-24,11m7c4,Analysis: Successful Multicast Traceroute Request,"the Wireshark structure of a multicast traceroute, which uses IGMP, and carries many useful pieces of diagnostic data"
Automating Multi-vendor and Cloud Networks Using Ansible,https://www.pluralsight.com/courses/ansible-cloud-networks-automating-multi-vendor,17-Apr-24,12m5c4,Demo: Configuring AWS Components Using Ansible,how to develop an Ansible playbook to automate the creation of AWS resources in preparation for a hybrid cloud deployment
Implementing Service Provider Security and Application Control,https://www.pluralsight.com/courses/service-provider-security-application-control-implementing-cert,24-Apr-24,13m6c5,Demo: Redirecting Junk Traffic into a Sinkhole,"how to configure BGP Flowspec and the corresponding VRF, routing, and ARP/ND modifications to inmplement a DDoS-attracting sinkhole"
"Automating BGP Routing Security with gRPC, gNMI, and YDK",awaiting link,1-May-24,14m4c2,Demo: Generating Python Classes for gNMI Objects,"how to read a Google Remote Procedure Call (gRPC) proto services file specific to gRPC Network Management Interface (gNMI), then compile Python bindings from it"
Assessing and Enhancing Applications Using Cisco DevNet Techniques,https://www.pluralsight.com/courses/assessing-enhancing-applications-cisco-devnet,8-May-24,15m3c5,Demo: Integrating MySQL and SQLAlchemy into the CRM App,how to enhance an existing Flask app (written in Python) using the SQL database tools listed in the title
Provisioning and Managing Networks Using Common Automation Tools,https://www.pluralsight.com/courses/provisioning-managing-networks-common-automation-tools,15-May-24,16m2c9,Demo: Provisioning New Branch Sites with ZTP,"how to Zero Touch Provision (ZTP) a new Cisco IOS-XE device using DHCP, TFTP, guestshell, and Python"
Inter-AS and Multicast MPLS VPNs,https://www.pluralsight.com/courses/inter-as-multicast-mpls-vpns-cert,22-May-24,17m4c6,Demo: Configuring the mLDP MP2MP Root,how to configure a multipoint to multipoint (MP2MP) multicast LDP (mLDP) customer delivery tree on Cisco IOS-XE and IOS-XR routers
Automating Networks with Ansible the Right Way,https://www.pluralsight.com/courses/automating-networks-ansible-right-way,29-May-24,18m8c7,Demo: Leveraging Genie in CLI-based Playbooks,how to use Cisco Genie parsers in an Ansible playbook to easily generate structured data from CLI text
Cisco Advanced Routing: Tier 3 Service Providers,https://www.pluralsight.com/courses/cisco-advanced-routing-tier-3-service-providers,5-Jun-24,19m5c9,Demo: Tracing the Bidirectional Customer MPLS LSPs,how to correctly trace an MPLS Label Switched Path (LSP) hop by hop through any network
